a52dec 0.7.4-11
ntfs-3g 2021.8.22-1
nvidia 515.43.04-7
nvidia-utils 515.43.04-2
ocl-icd 2.3.1-1
okular 22.04.1-1
openal 1.22.0-1
opencl-headers 2:2022.01.04-1
opencollada 1:1.6.68-2
opencolorio 2.1.1-2
opencore-amr 0.1.5-5
openexr 3.1.5-1
openimagedenoise 1.4.3-1
openimageio 2.3.14.0-1
openjpeg2 2.5.0-1
openmpi 4.1.2-1
openshadinglanguage 1.11.17.0-2
openssh 9.0p1-1
openssl 1.1.1.o-1
opensubdiv 3.4.4-10
openvdb 9.0.0-9
openxr 1.0.23-1
opus 1.3.1-3
opusfile 0.12-2
orc 0.4.32-1
p11-kit 0.24.1-1
p7zip 1:17.04-3
pacman 6.0.1-5
pacman-mirrorlist 20220501-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.7-1
parted 3.5-1
patch 2.7.6-8
pciutils 3.8.0-1
pcre 8.45-1
pcre2 10.40-1
perl 5.34.1-1
perl-error 0.17029-3
perl-mailtools 2.21-5
perl-timedate 2.33-3
phonon-qt5 4.11.1-3
phonon-qt5-vlc 0.11.3-2
picom 9.1-3
pinentry 1.2.0-1
pixman 0.40.0-2
pkgconf 1.8.0-1
polkit 0.120-5
polkit-qt5 0.114.0-1
poppler 22.05.0-2
poppler-data 0.4.11-1
poppler-glib 22.05.0-2
poppler-qt5 22.05.0-2
popt 1.18-3
potrace 1.16-2
procps-ng 3.3.17-1
psmisc 23.5-1
ptex 2.4.1-3
pugixml 1.12.1-1
pulseaudio 15.0-4
pulseaudio-bluetooth 15.0-4
pulseaudio-qt 1.3-1
purpose 5.94.0-1
pybind11 2.9.2-1
pystring 1.1.3.git1-1
python 3.10.4-2
python-appdirs 1.4.4-6
python-cachecontrol 1:0.12.6-4
python-cairo 1.21.0-1
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-colorama 0.4.4-6
python-contextlib2 0.6.0.post1-6
python-cryptography 37.0.1-1
python-distlib 0.3.4-1
python-distro 1.7.0-1
python-docopt 0.6.2-11
python-evdev 1.5.0-1
python-gobject 3.42.1-1
python-html5lib 1.1-11
python-idna 3.3-4
python-keyutils 0.6-8
python-lxml 4.8.0-1
python-more-itertools 8.12.0-2
python-msgpack 1.0.3-1
python-numpy 1.22.3-1
python-ordered-set 4.0.2-6
python-packaging 21.3-1
python-pep517 0.12.0-4
python-pillow 9.1.1-1
python-pip 21.0-1
python-ply 3.11-10
python-progress 1.6-5
python-pycparser 2.21-3
python-pyopenssl 22.0.0-1
python-pyparsing 3.0.9-1
python-requests 2.27.1-1
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-setuptools 1:60.6.0-1
python-six 1.16.0-5
python-toml 0.10.2-7
python-tomli 2.0.1-1
python-urllib3 1.26.9-1
python-webencodings 0.5.1-9
python-yaml 6.0-1
pywal-16-colors 3.3.0.r131.ge136433-1
qbittorrent-dark-git 4.3.2.r236.g56ba037c6-1
qca-qt5 2.3.4-3
qqc2-desktop-style 5.94.0-1
qt5-base 5.15.4+kde+r146-1
qt5-declarative 5.15.4+kde+r19-1
qt5-graphicaleffects 5.15.4+kde+r0-1
qt5-location 5.15.4+kde+r2-1
qt5-multimedia 5.15.4+kde+r1-1
qt5-quickcontrols 5.15.4+kde+r0-1
qt5-quickcontrols2 5.15.4+kde+r4-1
qt5-speech 5.15.4+kde+r1-1
qt5-svg 5.15.4+kde+r10-1
qt5-translations 5.15.4+kde+r2-1
qt5-wayland 5.15.4+kde+r38-1
qt5-webchannel 5.15.4+kde+r3-1
qt5-webengine 5.15.9-3
qt5-x11extras 5.15.4+kde+r0-1
qt5ct 1.5-2
rapidjson 1.1.0-5
rav1e 0.4.1-2
re2 1:20220401-1
readline 8.1.002-1
recode 3.7.12-1
rest 0.8.1+r4+ge5ee6ef-1
rsync 3.2.4-1
rtkit 0.13-1
run-parts 5.5-1
sbc 1.5-2
sdl2 2.0.22-2
sed 4.8-1
shaderc 2022.1-3
shadow 4.11.1-1
shared-mime-info 2.0+144+g13695c7-1
signon-kwallet-extension 22.04.1-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-3
signond 8.61-1
slang 2.3.2-2
smartmontools 7.3-1
snappy 1.1.9-2
solid 5.94.0-1
sonnet 5.94.0-1
sound-theme-freedesktop 0.8-5
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2022.1-1
sqlite 3.38.5-1
srt 1.4.4-1
startup-notification 0.12-7
steam 1.0.0.74-1
sudo 1.9.10-1
suitesparse 5.12.0-1
svt-av1 0.9.0-2
syndication 5.94.0-1
sysfsutils 2.1.1-1
systemd 251.1-1
systemd-libs 251.1-1
systemd-sysvcompat 251.1-1
taglib 1.12-1
tar 1.34-1
tbb 2021.5.0-1
tdb 1.4.6-1
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
threadweaver 5.94.0-1
thunar 4.16.11-2
timeshift 22.06.1-1
tinyxml 2.6.2-9
tpm2-tss 3.2.0-1
tracker3 3.3.0-2
tree-sitter 0.20.6-1
tslib 1.22-1
ttf-droid 20121017-10
ttf-liberation 2.1.5-1
ttf-nerd-fonts-symbols 2.1.0+36+gd0bf73a1-4
tumbler 4.16.0-3
tzdata 2022a-1
udiskie 2.4.2-1
udisks2 2.9.4-1
unibilium 2.1.1-1
unityhub 3.1.2-1
unzip 6.0-18
